address,name,category
0xb8901acb165ed027e32754e0ffe830802919727f,Hop Protocol: Ethereum Bridge,Bridge
0x1ec078551a5ac8f0f51fac57ffc48ea7d9a86e9d,Hop Protocol: Future Team Tokens,Bridge
0x881296edcb252080bd476c464ceb521d08df7631,Hop Protocol: HOP Bonder,Bridge
0x914f986a44acb623a277d6bd17368171fcbe4273,Hop Protocol: HOP Bridge,Bridge
0x22b1cbb8d98a01a3b71d034bb899775a76eb1cc2,Hop Protocol: MATIC Bridge,Bridge
0xe6bfe2ac487ea9a6c58108fbcb6d2db96b667cc0,Hop Protocol: MATIC Wrapper,Bridge
0xd8781ca9163e9f132a4d8392332e64115688013a,Hop Protocol: Matic Bonder,Bridge
0x4285caab762f2e405cd256069d0d47d13bf05b00,Hop Protocol: OP DAI Wrapper,Bridge
0x2e929203d8f2fcf88c4ff7b7362d08169b6f661c,Hop Protocol: Polygon DAI Wrapper,Bridge
0xdec8005ca1a3f90168c211406fefafa412467d81,Hop Protocol: Polygon ETH Wrapper,Bridge
0xae6dc7fed207fb7bf3f406fc197f70607cea618a,Hop Protocol: Polygon HOP Wrapper,Bridge
0x547d28cdd6a69e3366d6ae3ec39543f09bd09417,Hop Protocol: SNX Bonder,Bridge
0x893246facf345c99e4235e5a7bbee7404c988b96,Hop Protocol: SNX Bridge,Bridge
0x15281083cfb969d5643604e5e7079296d9eb0b92,Hop Protocol: USDC Arbitrum Wrapper,Bridge
0xa6a688f107851131f0e1dce493ebbebfaf99203e,Hop Protocol: USDC Bonder,Bridge
0x3666f603cc164936c1b87e207f36beba4ac5f18a,Hop Protocol: USDC Bridge,Bridge
0x6ce9077bb3db37eeeedd8d863988b2f19ff2b9a3,Hop Protocol: USDT Arbitrum Wrapper,Bridge
0x15ec4512516d980090050fe101de21832c8edfee,Hop Protocol: USDT Bonder,Bridge
0x3e4a3a4796d16c0cd582c382691998f7c06420b6,Hop Protocol: USDT Bridge,Bridge
0xc78c53102e161094d848ee167145e5d45eaa6853,Hop Protocol: USDT Messenger,Bridge
0xc08055b634d43f2176d721e26a3428d3b7e7ddb5,Hop Protocol: USDT XDai Wrapper,Bridge
0x2a6303e6b99d451df3566068ebb110708335658f,Hop Protocol: WBTC Bonder,Bridge
0xb98454270065a31d71bf635f6f7ee6a518dfb849,Hop Protocol: WBTC Bridge,Bridge
0x28e3d65acbff475c363435c7fa1d92a61a6b8cff,Hop Protocol: WBTC Polygon Wrapper,Bridge
0xc315239cfb05f1e130e7e28e603cea4c014c57f0,Hop Protocol: WBTC xDai Wrapper,Bridge
0x4297394c20800e8a38a619a243e9bbe7681ff24e,Hot Cross Token,Bridge
0x5fdcca53617f4d2b9134b29090c87d01058e27e9,Immutable X: Bridge,Bridge
0x37acfef331e6063c8507c2a69c97b4f78c770a5a,InstaDapp: Maker Compound Bridge,Bridge
0x5a1d63d3e1303e89503f2a1ecb553328f148909d,Jointer: JNTR/e <> JNTR Bridge,Bridge
0xbd31ea8212119f94a611fa969881cba3ea06fa3d,LUNA (Wormhole),Bridge
0x50002cdfe7ccb0c41f519c6eb0653158d11cd907,Layer Zero: Aptos Bridge,Bridge
0xf86fd6735f88d5b6aa709b357ad5be22cedf1a05,Layer2Finance: Rollup Chain,Bridge
0x66a71dcef29a0ffbdbe3c6a460a3b5bc225cd675,LayerZero: Ethereum Endpoint,Bridge
0x014f808b7d4b6f58be5fef88002d5028cd0ed14b,Lition: Token Bridge,Bridge
0x0baba1ad5be3a5c0a66e7ac838a129bf948f1ea4,Loopring: Exchange v2,Bridge
0x674bdf20a0f284d710bc40872100128e2d66bd3f,Loopring: Exchange v2 Deposit,Bridge
0xec3cc6cf0252565b56fc7ac396017df5b9b78a31,Loopring: Exchange v2 Fast Withdrawal,Bridge
0x05b70fb5477a93be33822bfb31fdaf2c171970df,Mayan: Swap Bridge,Bridge
0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,Metis Andromeda: Bridge,Bridge
0x9ccf191169a613eca433a249d3f40131178caebc,MicroChains Gov Token,Bridge
0x54f5a04417e29ff5d7141a6d33cb286f50d5d50e,Multichain: Anyswap Create2,Bridge
0xfc7cc7c7e7985316d23104b9689c511134f59bc8,Multichain: Astar Bridge,Bridge
0x13b432914a996b0a48695df9b2d701eda45ff264,Multichain: BNB Bridge,Bridge
0x4464fc279180045b1f57beacfa0d82e9cd4235cd,Multichain: Deployer 1,Bridge
0x49addc76569402cf893c015ac69a177aaf4e822b,Multichain: Deployer 2,Bridge
0x8132d337977f8d145a7b9cfac393df123c0f0e43,Multichain: Deployer 3,Bridge
0xa80f73b93526ef992b52e3998bb103a0a8f2359d,Multichain: Deployer 5,Bridge
0xc564ee9f21ed8a2d8e7e76c085740d5e4c5fafbe,Multichain: Fantom Bridge,Bridge
0x87bcb3038988ca2a89605ffa8f237fb78df1c3ae,Multichain: Fuse Bridge,Bridge
0x46290b0c3a234e3d538050d8f34421797532a827,Multichain: Fusion Bridge,Bridge
0xd779967f8b511c5edf39115341b310022900efed,Multichain: Huobi Bridge,Bridge
0x923e0a17f49fb03d936f2af2d59d379c615f5447,Multichain: KCC Bridge,Bridge
0xec4486a90371c9b66f499ff3936f29f0d5af8b7e,Multichain: Moonbeam Bridge,Bridge
0x10c6b61dbf44a083aec3780acf769c77be747e23,Multichain: Moonriver Bridge,Bridge
0xe4cf417081a0ab3f964b44d904bc2b534351a9a7,Multichain: Oasis Network Bridge,Bridge
0x533e3c0e6b48010873b947bddc4721b1bdff9648,Multichain: Old BSC Bridge,Bridge
0xe95fd76cf16008c12ff3b3a937cb16cd9cc20284,Multichain: Router V3,Bridge
0x6b7a87899490ece95443e979ca9485cbe7e71522,Multichain: Router V4,Bridge
0x765277eebeca2e31912c9946eae1021199b39c61,Multichain: Router V4 2,Bridge
0xba8da9dcf11b50b03fd5284f164ef5cdef910705,Multichain: Router V6,Bridge
0x1633d66ca91ce4d81f63ea047b7b19beb92df7f3,Multichain: Router V7,Bridge
0x4e67df0f232c3bc985f8a63326d80ce3d9a40400,Multichain: Shiden Network Bridge,Bridge
0x8cc49fe67a4bd7a15674c4ffd4e969d94304bbbf,Multichain: Syscoin Bridge,Bridge
0x57ed6bd35a6ce815079855cd0b21331d1d5d0a0e,Multichain: Telos Bridge,Bridge
0xcdd83050f045ab31b884f0dc49581bc7b3e0b84c,Multichain: Velas Bridge,Bridge
0xb153fb3d196a8eb25522705560ac152eeec57901,Multichain: Wrapped Ether,Bridge
0x51600b0cff6bbf79e7767158c41fd15e968ec404,Multichain: anyBTC Token,Bridge
0xc10ef9f491c9b59f936957026020c321651ac078,Multichain: anyCall V6,Bridge
0x2ac03bf434db503f6f5f85c3954773731fc3f056,Multichain: anyETH,Bridge
0x979aca85ba37c675e78322ed5d97fa980b9bdf00,Multichain: anyFSN Token,Bridge
0x23ddd3e3692d1861ed57ede224608875809e127f,Near: Rainbow Bridge,Bridge
0x2d6775c1673d4ce55e1f827a0d53e62c43d1f304,Nomad: Bridge,Bridge
0x88a69b4e698a4b090df6cf5bd7b2d47325ad30a3,Nomad: ERC20 Bridge,Bridge
0x070cb1270a4b2ba53c81cef89d0fd584ed4f430b,OMG Network V1: ERC-20 Vault,Bridge
0x3eed23ea148d356a72ca695dbce2fceb40a32ce0,OMG Network V1: ETH Vault,Bridge
0x48d7a6bbc428bca019a560cf3e8ea5364395aad3,OMG Network V1: Exit Game,Bridge
0xdc1664458d2f0b6090bea60a8793a4e66c2f1c00,OMG Network: Boba Gateway,Bridge
0x6a39909e805a3eadd2b61fff61147796ca6abb47,Optics: Bridge,Bridge
0x4fc16de11deac71e8b2db539d82d93be4b486892,Optics: ERC-20 Bridge,Bridge
0x2784a755690453035f32ac5e28c52524d127afe2,Optics: ETH Helper,Bridge
0x10e6593cdda8c58a1d0f14c5164b376352a55f2f,Optimism: DAI Bridge,Bridge
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,Optimism: Gateway,Bridge
0x467194771dae2967aef3ecbedd3bf9a310c76c65,Optimism: L1 Escrow,Bridge
0x1bf68a9d1eaee7826b3593c20a0ca93293cb489a,Orbit Chain: Bridge,Bridge
0x2140ecdc45c89ca112523637824513bae72c8671,POA Network: AMB-ETH-POA,Bridge
0x4c36d2919e407f0cc2ee3c993ccf8ac26d9ce64e,POA Network: AMB-ETH-XDAI,Bridge
0x7c8161545717a334f3196e765d9713f8042ef338,PancakeSwap Token (Wormhole),Bridge
0xcd38b15a419491c7c1238b0659f65c755792e257,Phala Network: ERC20 Bridge Handler,Bridge
0x8f92e7353b180937895e0c5937d616e8ea1a2bb9,Phala Network: Main Bridge Contract,Bridge
0xeec0fb4913119567cdfc0c5fc2bf8f9f9b226c2d,Phala Network: Phala Chain Bridge,Bridge
0x3642c0680329ae3e103e2b5ab29ddfed4d43cbe5,Plenny (PL2),Bridge
0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Polygon (Matic): Bridge,Bridge
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,Polygon (Matic): ERC20 Bridge,Bridge
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,Bridge
0x401f6c983ea34274ec46f84d70b31c151321188b,Polygon (Matic): Plasma Bridge,Bridge
0xa68d85df56e733a06443306a095646317b5fa633,Polygon: Hermez,Bridge
0x12ed69359919fc775bc2674860e8fe2d2b6a7b5d,RSK: Token Bridge,Bridge
0xf687e1481d85f8b9f4d1f4d4c15348cef8e5a762,Relay Chain: Bridge,Bridge
0xe4b679400f0f267212d5d812b95f58c83243ee71,Ren: BTC Gateway,Bridge
0x32666b64e9fd0f44916e1378efb2cfa3b3b96e80,Ren: RenBridge,Bridge
0x408e41876cccdc0f92210600ef50372656052a38,Republic (REN),Bridge
0x5d22045daceab03b158031ecb7d9d06fad24609b,Rhino.fi: Bridge,Bridge
0xd8b19613723215ef8cc80fc35a1428f8e8826940,Rubic Exchange,Bridge
0x8287c7b963b405b7b8d467db9d79eec40625b13a,SWINGBY token,Bridge
0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec,Secret Network: Bridge,Bridge
0xeae57ce9cc1984f202e15e038b964bb8bdf7229a,Sollet: Solana Bridge,Bridge
0xf5c9f957705bea56a7e806943f98f7777b995826,Sorare: L2 Bridge,Bridge
0x659a00c33263d9254fed382de81349426c795bb6,StarkNet: StarkGate DAI Bridge,Bridge
0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,StarkNet: StarkGate ETH Bridge,Bridge
0xf6080d9fbeebcd44d89affbfd42f098cbff92816,StarkNet: StarkGate USDC Bridge,Bridge
0xbb3400f107804dfb482565ff1ec8d8ae66747605,StarkNet: StarkGate USDT Bridge,Bridge
0x283751a21eafbfcd52297820d27c1f1963d9b5b4,StarkNet: StarkGate WBTC Bridge,Bridge
0x0f2d719407fdbeff09d87557abb7232601fd9f29,Synapse (SYN),Bridge
0xdf3e63507100dfded269ee113d6c8fb9dc086546,Synapse Network: Vesting,Bridge
0x2796317b0ff8538f253012862c06787adfb8ceb6,Synapse: Bridge,Bridge
0x3ee02f08b801b1990ac844d8cd2f119ba6fb9bcf,Synapse: Bridge Config,Bridge
0x31fe393815822edacbd81c2262467402199efd0d,Synapse: Bridge Implementation,Bridge
0xa2569370a9d4841c9a62fc51269110f2eb7e0171,Synapse: Bridge Zap 1,Bridge
0x518b553fe47208389271745155a6abf4a961ef28,Synapse: Bridge Zap 2,Bridge
0x6571d6be3d8460cf5f7d6711cd9961860029d85f,Synapse: Bridge Zap 3,Bridge
0xd10ef2a513cee0db54e959ef16cac711470b62cf,Synapse: MiniChef,Bridge
0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,Synapse: Stable Liquidity Pool,Bridge
